,party,mean_lrgen,bloc,wingness
0,ALT,-1.387055332832633,right bloc,1.387055332832633
1,DD,0.7998275096436286,left bloc,0.7998275096436286
2,DF,0.9240898642729916,left bloc,0.9240898642729916
3,EL,-1.7503407897622845,right bloc,1.7503407897622845
4,KD,-0.03497795457781555,right bloc,0.03497795457781555
5,KF,0.6418888696073338,left bloc,0.6418888696073338
6,LA,0.9710138566353221,left bloc,0.9710138566353221
7,M,0.011115658650761815,left bloc,0.011115658650761815
8,NB,1.3375856411506448,left bloc,1.3375856411506448
9,RV,-0.1632935408383279,right bloc,0.1632935408383279
10,S,-0.5983434818397662,right bloc,0.5983434818397662
11,SF,-1.160918909704167,right bloc,1.160918909704167
12,V,0.5859680738470681,left bloc,0.5859680738470681
